freq,ceparema,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA2,MIO_NAC,HR,,,,,,,,,15.2,19.2,12.5,12.6,19.6,27.4,38.3,39.3,41.3,,
A,CEPA2,MIO_NAC,HU,,,,,,,,,173244.0,169839.0,27120.0,36887.0,55041.0,90955.0,83188.0,70785.0,73002.0,,
A,CEPA2,MIO_NAC,IE,,,605.7,431.9,348.2,215.4,156.8,268.4,413.6,388.8,293.6,300.8,371.9,526.4,540.1,499.0,401.7,,
A,CEPA2,MIO_NAC,IS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA2,MIO_NAC,IT,,,413.6,409.8,327.5,291.0,274.2,227.6,176.8,206.2,179.5,155.1,168.6,133.5,322.6,135.0,329.0,,
A,CEPA2,MIO_NAC,LT,67.7,106.0,103.7,152.4,188.0,135.5,135.7,18.1,2.9,2.7,0.7,1.3,1.7,2.4,2.5,1.9,4.4,,
A,CEPA2,MIO_NAC,LU,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,2.5,3.6,,
A,CEPA2,MIO_NAC,LV,,,3.6,2.1,4.1,5.5,3.4,5.7,7.1,5.0,1.5,3.2,1.1,1.1,2.7,1.9,2.7,,
A,CEPA2,MIO_NAC,MT,,,,,,,,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA2,MIO_NAC,NL,,,,,,,,1718.4,1350.2,1090.4,1052.3,1057.5,1182.2,1224.1,1318.5,1370.1,1462.3,,
A,CEPA2,MIO_NAC,NO,,,,,,,,,5573.9,6320.3,6614.9,6252.3,6393.5,7107.4,7066.5,6658.1,6615.1,,
A,CEPA2,MIO_NAC,PL,,,,,4174.4,4453.9,3246.2,3133.2,2968.4,2957.6,975.4,1263.3,3293.2,3342.3,3080.1,3012.9,3344.9,,
A,CEPA2,MIO_NAC,PT,,,,,,,,,149.3,144.2,110.0,152.7,72.4,72.3,72.3,78.0,77.9,,
A,CEPA2,MIO_NAC,RO,169.4,416.8,608.5,823.8,888.5,1372.1,1277.6,568.6,714.2,776.9,945.9,756.9,1090.9,1549.4,1565.0,1701.2,1396.1,,
A,CEPA2,MIO_NAC,SE,1099.4,1194.0,1430.3,1646.2,1706.9,2020.2,2227.0,2510.5,2933.0,3221.1,3307.1,4108.0,4698.1,4698.1,5335.3,4013.2,5975.0,,
A,CEPA2,MIO_NAC,SI,,,79.5,123.5,80.1,98.1,104.8,125.0,215.8,202.1,56.0,51.5,65.6,81.7,76.4,90.4,148.9,,
A,CEPA2,MIO_NAC,SK,,,61.0,72.8,89.2,77.7,62.0,51.4,52.9,77.4,23.8,34.2,55.1,40.5,26.1,34.9,41.9,,
A,CEPA3,MIO_EUR,AT,26.1,42.1,20.6,25.4,26.3,17.0,39.7,34.5,2.9,4.9,2.5,3.8,18.2,23.0,25.3,18.1,31.8,,
A,CEPA3,MIO_EUR,BE,,,,,,,,,128.2,139.8,145.4,216.8,251.0,344.0,241.2,181.1,182.1,,
A,CEPA3,MIO_EUR,BG,8.1,11.5,18.1,24.5,12.5,14.4,32.4,44.4,147.1,221.4,38.7,27.1,38.2,41.5,69.2,45.4,44.8,,
A,CEPA3,MIO_EUR,CH,,,,,,,,,448.9,513.6,488.3,482.9,448.6,493.0,504.7,548.3,583.9,,
A,CEPA3,MIO_EUR,CY,,,,,9.9,4.7,0.5,2.8,7.2,35.5,24.7,1.7,2.1,2.1,0.4,0.8,7.6,,
A,CEPA3,MIO_EUR,CZ,,,,,,,59.8,52.7,86.0,105.5,37.6,37.5,71.2,58.9,48.6,67.0,51.2,,
A,CEPA3,MIO_EUR,DE,,,,,265.0,365.0,428.0,397.0,718.0,555.0,606.0,651.0,111.4,142.9,138.9,130.8,148.5,,
A,CEPA3,MIO_EUR,DK,2.1,1.1,0.7,0.7,1.4,-2.9,0.1,0.3,0.2,0.2,0.0,0.4,-0.5,0.3,1.6,0.8,0.5,,
A,CEPA3,MIO_EUR,EE,,,,,,,,,0.9,6.4,2.6,1.9,1.7,3.8,2.0,4.0,3.9,,
A,CEPA3,MIO_EUR,EL,,,,,,,,,394.0,381.0,178.0,137.0,233.0,239.0,272.0,245.0,367.0,,
A,CEPA3,MIO_EUR,ES,,,,,418.0,254.0,249.0,216.0,176.0,241.0,222.0,240.0,229.0,377.0,294.0,374.0,424.0,643.4,
A,CEPA3,MIO_EUR,EU27_2020,4033.6,3905.1,4113.4,3794.8,3818.4,3796.0,3917.6,3982.8,4271.3,5055.0,4338.8,4312.8,4156.1,4841.3,4863.6,5156.6,5646.7,6436.9,6307.8
A,CEPA3,MIO_EUR,FI,,,,,,,,,0.1,0.3,0.2,0.1,0.4,0.3,0.3,0.0,0.2,,
A,CEPA3,MIO_EUR,FR,1296.1,1040.6,915.5,961.0,1095.9,1172.4,1073.9,1124.2,1114.6,1003.5,1031.3,1058.7,1103.8,1404.7,1205.4,1344.1,1458.6,,
A,CEPA3,MIO_EUR,HR,,,,,,,,,54.7,47.7,34.8,36.3,37.1,45.1,61.4,62.3,30.9,,
A,CEPA3,MIO_EUR,HU,,,,,,,,,134.5,357.9,21.0,22.1,45.4,79.6,103.6,116.2,75.3,,
A,CEPA3,MIO_EUR,IE,,,74.1,51.3,38.7,45.0,34.6,28.8,22.3,22.4,23.2,31.9,35.1,27.2,20.1,21.4,29.8,,
A,CEPA3,MIO_EUR,IS,,,,,,,,,2.8,3.4,2.4,3.8,5.3,4.7,3.7,4.7,6.0,,
A,CEPA3,MIO_EUR,IT,,,421.0,427.0,339.0,339.0,321.0,241.0,159.0,170.0,157.6,140.5,128.1,146.2,184.0,191.0,182.0,,
A,CEPA3,MIO_EUR,LT,19.4,42.9,47.1,47.1,58.5,22.9,16.8,2.6,15.4,22.9,2.9,2.6,5.5,6.4,3.9,2.9,4.3,,
A,CEPA3,MIO_EUR,LU,,,5.2,6.8,5.1,5.3,6.1,8.1,6.1,6.8,15.5,7.0,6.4,8.4,15.4,28.8,26.9,,
A,CEPA3,MIO_EUR,LV,,,4.5,10.1,3.1,5.6,12.1,8.7,4.7,4.8,11.3,13.2,13.0,29.3,10.6,13.4,6.6,,
A,CEPA3,MIO_EUR,MT,,,,,,,,7.2,18.6,59.8,10.2,6.1,10.1,17.0,24.2,11.6,20.6,,
A,CEPA3,MIO_EUR,NL,,,,,,,,591.0,641.0,633.0,870.0,847.0,881.0,843.0,930.0,1035.0,1171.0,,
A,CEPA3,MIO_EUR,NO,,,,,,,,,80.4,56.9,78.0,80.7,124.7,116.9,81.4,70.0,70.8,,
A,CEPA3,MIO_EUR,PL,,,,,45.0,30.7,33.7,28.3,40.9,218.8,34.9,13.0,62.0,45.5,56.7,38.6,51.2,,
A,CEPA3,MIO_EUR,PT,,,,,,,,,7.8,17.1,20.3,12.7,2.1,19.6,25.5,31.4,29.9,,
A,CEPA3,MIO_EUR,RO,15.3,39.8,52.6,61.8,67.1,103.0,91.1,139.7,136.1,404.3,140.8,76.3,67.7,105.4,60.6,54.8,63.3,,
A,CEPA3,MIO_EUR,SE,226.0,251.3,248.9,221.1,257.9,313.5,336.4,332.0,316.7,398.2,665.4,706.2,726.6,785.1,1026.7,1104.5,1103.2,,
A,CEPA3,MIO_EUR,SI,,,23.7,21.8,27.3,14.5,14.9,19.8,20.8,72.8,30.7,5.7,10.0,9.0,9.5,8.7,11.4,,
A,CEPA3,MIO_EUR,SK,,,18.3,22.3,27.1,22.5,91.4,66.8,16.9,30.3,11.4,16.2,66.7,37.0,32.6,24.9,120.0,,
A,CEPA3,MIO_NAC,AT,26.1,42.1,20.6,25.4,26.3,17.0,39.7,34.5,2.9,4.9,2.5,3.8,18.2,23.0,25.3,18.1,31.8,,
A,CEPA3,MIO_NAC,BE,,,,,,,,,128.2,139.8,145.4,216.8,251.0,344.0,241.2,181.1,182.1,,
A,CEPA3,MIO_NAC,BG,8.1,11.5,18.1,24.5,12.5,14.4,32.4,44.4,147.1,221.4,38.7,27.1,38.2,41.5,69.2,45.4,44.8,,
A,CEPA3,MIO_NAC,CH,,,,,,,,,545.2,548.5,532.4,536.8,518.1,548.4,540.2,592.8,586.6,,
A,CEPA3,MIO_NAC,CY,,,,,9.9,4.7,0.5,2.8,7.2,35.5,24.7,1.7,2.1,2.1,0.4,0.8,7.6,,
A,CEPA3,MIO_NAC,CZ,,,,,,,1504.0,1368.0,2368.0,2879.0,1017.0,988.0,1826.0,1513.0,1285.0,1717.0,1258.0,,
A,CEPA3,MIO_NAC,DE,,,,,265.0,365.0,428.0,397.0,718.0,555.0,606.0,651.0,111.4,142.9,138.9,130.8,148.5,,
A,CEPA3,MIO_NAC,DK,15.3,8.3,5.0,5.0,10.4,-21.8,1.1,2.0,1.5,1.9,0.1,2.8,-3.5,2.3,11.8,5.9,3.4,,
A,CEPA3,MIO_NAC,EE,,,,,,,,,0.9,6.4,2.6,1.9,1.7,3.8,2.0,4.0,3.9,,
A,CEPA3,MIO_NAC,EL,,,,,,,,,394.0,381.0,178.0,137.0,233.0,239.0,272.0,245.0,367.0,,
A,CEPA3,MIO_NAC,ES,,,,,418.0,254.0,249.0,216.0,176.0,241.0,222.0,240.0,229.0,377.0,294.0,374.0,424.0,643.4,
A,CEPA3,MIO_NAC,EU27_2020,4033.6,3905.1,4113.4,3794.8,3818.4,3796.0,3917.6,3982.8,4271.3,5055.0,4338.8,4312.8,4156.1,4841.3,4863.6,5156.6,5646.7,6436.9,6307.8
A,CEPA3,MIO_NAC,FI,,,,,,,,,0.1,0.3,0.2,0.1,0.4,0.3,0.3,0.0,0.2,,
A,CEPA3,MIO_NAC,FR,1296.1,1040.6,915.5,961.0,1095.9,1172.4,1073.9,1124.2,1114.6,1003.5,1031.3,1058.7,1103.8,1404.7,1205.4,1344.1,1458.6,,
A,CEPA3,MIO_NAC,HR,,,,,,,,,55.4,48.2,34.8,36.0,36.5,44.4,61.4,62.2,30.9,,
A,CEPA3,MIO_NAC,HU,,,,,,,,,41526.0,110936.0,6543.0,6840.0,14484.0,25887.0,36403.0,41669.0,29478.0,,
