freq,ceparema,env_econ,nace_r2,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA1,EPS_INV_PP,C,MIO_NAC,LT,,,,,,,,,4.4,2.1,0.0,0.3,2.3,0.9,3.3,3.8,0.9,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,LV,,,,,,,,,,,,,5.5,2.0,5.7,1.9,,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,MK,,,,,,,,,,,,,,,35.3,13.7,,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,MT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,NO,,,,,,,,,44.2,68.8,100.7,67.9,,,,,,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,PL,,,,,,,,,255.7,435.7,298.0,231.1,246.3,188.9,342.5,410.8,720.0,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,PT,,,,,,,,,11.6,27.8,14.8,18.5,25.3,23.5,,,,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,RO,,,,,,,,,83.8,73.1,61.9,31.3,49.7,102.4,79.0,66.7,94.4,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,RS,,,,,,,,,179.3,107.2,141.7,135.0,94.9,70.2,14.2,387.4,358.9,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,SE,,,,,,,,,,,,,657.1,564.7,1142.2,2185.7,,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,SI,,,,,,,,,8.8,15.2,13.8,9.1,13.2,8.9,26.8,23.2,13.7,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,AT,,,,,,,,,,,,,3.9,3.4,3.6,12.9,13.6,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,BA,,,,,,,,,,,,,,,,,0.2,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,BE,,,,,,,,,1.9,1.9,2.1,2.3,2.3,2.5,2.4,2.5,2.8,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,BG,,,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,CH,,,,,,,,,,,16.7,,8.9,,16.7,16.7,18.2,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,DE,,,,,,,,,,,,,27.6,31.3,49.1,47.9,89.5,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,EL,,,,,,,,,0.0,0.4,0.1,12.3,0.0,0.2,1.4,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,FI,,,,,,,,,,,,,,,4.0,,,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,HR,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,IE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,IT,,,,,,,,,,,5.3,2.2,4.6,11.3,2.3,6.9,0.7,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,LT,,,,,,,,,,,,,1.4,0.6,1.4,0.3,0.4,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,LV,,,,,,,,,,,,,0.0,0.0,0.7,0.0,0.1,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,MT,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,PL,,,,,,,,,10.1,4.4,3.1,3.6,6.8,6.4,21.7,10.8,34.2,,
A,CEPA1,EPS_INV_PP,C10-C12,MIO_EUR,RO,,,,,,,,,0.4,3.2,2.6,1.2,1.5,2.4,0.8,0.4,4.2,,
